sub,File.name,condition,time,Mean.Pitch
2,P002_stranger_Talk_mis_Pre_Trial_3_2023-05-06,mismatch,pre,126.6778146
2,P002_stranger_Talk_mis_Pre_Trial_4_2023-05-06,mismatch,pre,126.2417166
2,P002_stranger_Talk_mis_Pre_Trial_5_2023-05-06,mismatch,pre,125.144609
2,P002_stranger_Talk_mis_Pre_Trial_6_2023-05-06,mismatch,pre,121.7777368
2,P002_stranger_Talk_mis_Pre_Trial_7_2023-05-06,mismatch,pre,125.6751616
2,P002_stranger_Talk_mis_Pre_Trial_8_2023-05-06,mismatch,pre,129.7665431
2,P002_stranger_Talk_mis_Pre_Trial_9_2023-05-06,mismatch,pre,125.0001994
2,P002_stranger_Talk_mis_Pre_Trial_10_2023-05-06,mismatch,pre,131.1624092
3,P003_stranger_Talk_match_Post_Trial_1_2023-05-08,match,post,239.6146315
3,P003_stranger_Talk_match_Post_Trial_2_2023-05-08,match,post,243.4273364
3,P003_stranger_Talk_match_Post_Trial_3_2023-05-08,match,post,240.8902403
3,P003_stranger_Talk_match_Post_Trial_4_2023-05-08,match,post,235.8082061
3,P003_stranger_Talk_match_Post_Trial_5_2023-05-08,match,post,249.9610776
3,P003_stranger_Talk_match_Post_Trial_6_2023-05-08,match,post,247.783497
3,P003_stranger_Talk_match_Post_Trial_7_2023-05-08,match,post,244.0129364
3,P003_stranger_Talk_match_Post_Trial_8_2023-05-08,match,post,243.2210626
3,P003_stranger_Talk_match_Post_Trial_9_2023-05-08,match,post,243.4544484
3,P003_stranger_Talk_match_Post_Trial_10_2023-05-08,match,post,244.9642041
3,P003_stranger_Talk_match_Pre_Trial_1_2023-05-08,match,pre,238.0106667
3,P003_stranger_Talk_match_Pre_Trial_2_2023-05-08,match,pre,240.2593819
3,P003_stranger_Talk_match_Pre_Trial_3_2023-05-08,match,pre,236.0748818
3,P003_stranger_Talk_match_Pre_Trial_4_2023-05-08,match,pre,237.1994423
3,P003_stranger_Talk_match_Pre_Trial_5_2023-05-08,match,pre,229.1938337
3,P003_stranger_Talk_match_Pre_Trial_6_2023-05-08,match,pre,235.5050959
3,P003_stranger_Talk_match_Pre_Trial_7_2023-05-08,match,pre,238.1736414
3,P003_stranger_Talk_match_Pre_Trial_8_2023-05-08,match,pre,237.3356894
3,P003_stranger_Talk_match_Pre_Trial_9_2023-05-08,match,pre,238.2998883
3,P003_stranger_Talk_match_Pre_Trial_10_2023-05-08,match,pre,235.512209
3,P003_stranger_Talk_mis_Post_Trial_1_2023-05-08,mismatch,post,251.9768768
3,P003_stranger_Talk_mis_Post_Trial_2_2023-05-08,mismatch,post,258.0057545
3,P003_stranger_Talk_mis_Post_Trial_3_2023-05-08,mismatch,post,253.4944985
3,P003_stranger_Talk_mis_Post_Trial_4_2023-05-08,mismatch,post,245.8139764
3,P003_stranger_Talk_mis_Post_Trial_5_2023-05-08,mismatch,post,245.1248089
3,P003_stranger_Talk_mis_Post_Trial_6_2023-05-08,mismatch,post,246.667598
3,P003_stranger_Talk_mis_Post_Trial_7_2023-05-08,mismatch,post,238.8663443
3,P003_stranger_Talk_mis_Post_Trial_8_2023-05-08,mismatch,post,242.1487766
3,P003_stranger_Talk_mis_Post_Trial_9_2023-05-08,mismatch,post,248.0560056
3,P003_stranger_Talk_mis_Post_Trial_10_2023-05-08,mismatch,post,253.1863457
3,P003_stranger_Talk_mis_Pre_Trial_1_2023-05-08,mismatch,pre,257.8802566
3,P003_stranger_Talk_mis_Pre_Trial_2_2023-05-08,mismatch,pre,243.420671
3,P003_stranger_Talk_mis_Pre_Trial_3_2023-05-08,mismatch,pre,241.4831921
3,P003_stranger_Talk_mis_Pre_Trial_4_2023-05-08,mismatch,pre,249.6426477
3,P003_stranger_Talk_mis_Pre_Trial_5_2023-05-08,mismatch,pre,246.1309281
3,P003_stranger_Talk_mis_Pre_Trial_6_2023-05-08,mismatch,pre,256.3083765
3,P003_stranger_Talk_mis_Pre_Trial_7_2023-05-08,mismatch,pre,250.4702115
3,P003_stranger_Talk_mis_Pre_Trial_8_2023-05-08,mismatch,pre,266.584506
3,P003_stranger_Talk_mis_Pre_Trial_9_2023-05-08,mismatch,pre,262.6500987
3,P003_stranger_Talk_mis_Pre_Trial_10_2023-05-08,mismatch,pre,263.3731288
4,P004_stranger_Talk_match_Post_Trial_1_2023-05-10,match,post,144.2855345
4,P004_stranger_Talk_match_Post_Trial_2_2023-05-10,match,post,141.6298963
4,P004_stranger_Talk_match_Post_Trial_3_2023-05-10,match,post,143.0411548
4,P004_stranger_Talk_match_Post_Trial_4_2023-05-10,match,post,142.4279707
4,P004_stranger_Talk_match_Post_Trial_5_2023-05-10,match,post,144.9639639
4,P004_stranger_Talk_match_Post_Trial_6_2023-05-10,match,post,143.6372532
4,P004_stranger_Talk_match_Post_Trial_7_2023-05-10,match,post,142.9846603
4,P004_stranger_Talk_match_Post_Trial_8_2023-05-10,match,post,141.4759359
4,P004_stranger_Talk_match_Post_Trial_9_2023-05-10,match,post,141.2806297
4,P004_stranger_Talk_match_Post_Trial_10_2023-05-10,match,post,142.6066567
4,P004_stranger_Talk_match_Pre_Trial_1_2023-05-10,match,pre,130.8565678
4,P004_stranger_Talk_match_Pre_Trial_2_2023-05-10,match,pre,128.7408942
4,P004_stranger_Talk_match_Pre_Trial_3_2023-05-10,match,pre,125.4389715
4,P004_stranger_Talk_match_Pre_Trial_4_2023-05-10,match,pre,127.8228526
4,P004_stranger_Talk_match_Pre_Trial_5_2023-05-10,match,pre,125.4128147
4,P004_stranger_Talk_match_Pre_Trial_6_2023-05-10,match,pre,129.9321269
4,P004_stranger_Talk_match_Pre_Trial_7_2023-05-10,match,pre,125.1333189
4,P004_stranger_Talk_match_Pre_Trial_8_2023-05-10,match,pre,130.0912699
4,P004_stranger_Talk_match_Pre_Trial_9_2023-05-10,match,pre,129.0348354
4,P004_stranger_Talk_match_Pre_Trial_10_2023-05-10,match,pre,130.4551842
4,P004_stranger_Talk_mis_Post_Trial_1_2023-05-10,mismatch,post,137.3606279
4,P004_stranger_Talk_mis_Post_Trial_2_2023-05-10,mismatch,post,144.8734968
4,P004_stranger_Talk_mis_Post_Trial_3_2023-05-10,mismatch,post,137.2121698
4,P004_stranger_Talk_mis_Post_Trial_4_2023-05-10,mismatch,post,138.5197184
4,P004_stranger_Talk_mis_Post_Trial_5_2023-05-10,mismatch,post,141.4089129
4,P004_stranger_Talk_mis_Post_Trial_6_2023-05-10,mismatch,post,135.5192492
4,P004_stranger_Talk_mis_Post_Trial_7_2023-05-10,mismatch,post,140.5022142
4,P004_stranger_Talk_mis_Post_Trial_8_2023-05-10,mismatch,post,135.1893528
4,P004_stranger_Talk_mis_Post_Trial_9_2023-05-10,mismatch,post,137.2022704
4,P004_stranger_Talk_mis_Post_Trial_10_2023-05-10,mismatch,post,140.0612531
4,P004_stranger_Talk_mis_Pre_Trial_1_2023-05-10,mismatch,pre,143.7382357
4,P004_stranger_Talk_mis_Pre_Trial_2_2023-05-10,mismatch,pre,134.7195008
4,P004_stranger_Talk_mis_Pre_Trial_3_2023-05-10,mismatch,pre,134.8604471
4,P004_stranger_Talk_mis_Pre_Trial_4_2023-05-10,mismatch,pre,137.4123279
4,P004_stranger_Talk_mis_Pre_Trial_5_2023-05-10,mismatch,pre,140.201149
4,P004_stranger_Talk_mis_Pre_Trial_6_2023-05-10,mismatch,pre,142.3031285
4,P004_stranger_Talk_mis_Pre_Trial_7_2023-05-10,mismatch,pre,138.8325378
4,P004_stranger_Talk_mis_Pre_Trial_8_2023-05-10,mismatch,pre,142.1070843
4,P004_stranger_Talk_mis_Pre_Trial_9_2023-05-10,mismatch,pre,142.2822096
4,P004_stranger_Talk_mis_Pre_Trial_10_2023-05-10,mismatch,pre,141.7723587
5,P005_stranger_Talk_match_Post_Trial_1_2023-05-11,match,post,286.5333145
5,P005_stranger_Talk_match_Post_Trial_2_2023-05-11,match,post,280.3480611
5,P005_stranger_Talk_match_Post_Trial_3_2023-05-11,match,post,285.3099804
5,P005_stranger_Talk_match_Post_Trial_4_2023-05-11,match,post,277.2186503
5,P005_stranger_Talk_match_Post_Trial_5_2023-05-11,match,post,285.4543731
5,P005_stranger_Talk_match_Post_Trial_6_2023-05-11,match,post,283.4045474
